"arquivo","modelo","status","status_primal","status_dual","raw_status","objetivo","tempo_jump_s","variaveis","restricoes_sem_bounds","restricoes_com_bounds","ipopt_iterations","ipopt_objective_final_log","ipopt_dual_infeasibility","ipopt_constraint_violation","ipopt_variable_bound_violation","ipopt_complementarity","ipopt_overall_nlp_error","ipopt_objective_evaluations","ipopt_gradient_evaluations","ipopt_eq_constraint_evaluations","ipopt_ineq_constraint_evaluations","ipopt_eq_jacobian_evaluations","ipopt_ineq_jacobian_evaluations","ipopt_hessian_evaluations","ipopt_total_seconds","log_ipopt"
"jump/bearing_400_jump.jl","bearing_400_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","-0.15429306020528918","3.785557985305786","161604","1608","163212","17","-1.5429306020528918e-01","1.8189894035458565e-12","9.9992192088418207e-09","9.9992192088418207e-09","1.4614509416846367e-08","1.4614509416846367e-08","18","18","18","0","1","0","1","3.766","logs_ipopt_simples/bearing_400_jump_ipopt.log"
"jump/dtoc1nd_jump.jl","dtoc1nd_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","136.4558021620255","15.12351107597351","5985","3725","3750","8","1.3645580216202549e+02","5.6911723111952028e-09","7.1829735215356294e-10","0.0000000000000000e+00","0.0000000000000000e+00","5.6911723111952028e-09","14","9","14","0","9","0","8","12.549","logs_ipopt_simples/dtoc1nd_jump_ipopt.log"
"jump/arki0003_jump.jl","arki0003_jump","ITERATION_LIMIT","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","Maximum_Iterations_Exceeded","15770.80236880794","63.592241048812866","2283","2583","5075","3000","1.5770802368807939e+04","3.8851960462811675e+01","2.2954109167907304e-04","1.2150303291491582e-05","1.5042412372345590e-04","3.8851960462811675e+01","7812","2824","7812","7812","3008","3008","3000","63.573","logs_ipopt_simples/arki0003_jump_ipopt.log"
"jump/arki0009_jump.jl","arki0009_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","207096.60738234952","54.840168952941895","7715","6707","15361","555","2.0709660738234952e+05","3.0543021592296359e-08","3.4995840648239324e-08","1.1510220019772532e-05","1.9974541376793612e-07","1.9974541376793612e-07","632","554","632","632","557","557","555","54.811","logs_ipopt_simples/arki0009_jump_ipopt.log"
"jump/arki0009_jump.jl","arki0009_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","207096.60738234952","54.760591983795166","7715","6707","15361","555","2.0709660738234952e+05","3.0543021592296359e-08","3.4995840648239324e-08","1.1510220019772532e-05","1.9974541376793612e-07","1.9974541376793612e-07","632","554","632","632","557","557","555","54.732","logs_ipopt_simples/arki0009_jump_ipopt.log"
"jump/camshape_6400_jump.jl","camshape_6400_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","4.448335345297233","21.44377112388611","6400","19204","32004","54","4.4483353452972327e+00","2.5532573194610517e-07","0.0000000000000000e+00","0.0000000000000000e+00","1.3522453284186086e-08","2.5532573194610517e-07","62","55","0","62","0","55","54","21.354","logs_ipopt_simples/camshape_6400_jump_ipopt.log"
"jump/clnlbeam_jump.jl","clnlbeam_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","344.87613144059037","86.61135411262512","60003","40000","120000","554","3.4487613144059037e+02","1.2761772766893187e-11","4.7712586648523264e-15","9.8671040504871854e-09","1.3784120761942591e-08","1.3784120761942591e-08","590","555","590","0","555","0","554","86.005","logs_ipopt_simples/clnlbeam_jump_ipopt.log"
"jump/cont5_1_l_jump.jl","cont5_1_l_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","2.7209764487492865","17.092702865600586","90901","90601","272403","14","2.7209764487492865e+00","1.0446629417064619e-09","9.8327149408716785e-08","0.0000000000000000e+00","2.0480785459630095e-08","9.8327149408716785e-08","15","15","15","0","15","0","14","15.877","logs_ipopt_simples/cont5_1_l_jump_ipopt.log"
"jump/cont5_2_1_l_jump.jl","cont5_2_1_l_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","0.0006825043812538636","37.777164936065674","90901","90601","272403","34","6.8250438125386356e-04","1.3497685102680605e-09","8.3519635651896351e-11","8.9890337886757110e-16","1.3432487860387408e-08","1.3432487860387408e-08","35","35","35","0","35","0","34","36.511","logs_ipopt_simples/cont5_2_1_l_jump_ipopt.log"
"jump/cont5_2_2_l_jump.jl","cont5_2_2_l_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","0.0005363426587851368","48.97480511665344","90901","90601","272403","43","5.3634265878513678e-04","2.1748293224552188e-09","5.6031884909657492e-08","5.6458339179640754e-17","9.1180033337202464e-09","5.6031884909657492e-08","51","44","51","0","44","0","43","47.864","logs_ipopt_simples/cont5_2_2_l_jump_ipopt.log"
"jump/cont5_2_3_l_jump.jl","cont5_2_3_l_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","0.0005484253670799304","54.09010195732117","90901","90601","272403","53","5.4842536707993043e-04","3.8833093375261603e-09","4.6668955455686500e-07","1.8211255864674836e-29","9.8508524468794017e-09","4.6668955455686500e-07","54","54","54","0","54","0","53","53.002","logs_ipopt_simples/cont5_2_3_l_jump_ipopt.log"
"jump/corkscrw_jump.jl","corkscrw_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","98.09600217824236","20.634875059127808","45006","35000","75009","191","9.8096002178242358e+01","1.6234437184058389e-12","1.2933713345111841e-13","0.0000000000000000e+00","1.0242086699871236e-08","1.0242086699871236e-08","296","170","296","296","198","198","191","20.351","logs_ipopt_simples/corkscrw_jump_ipopt.log"
"jump/elec_400_jump.jl","elec_400_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","75583.07022119712","53.99819898605347","1200","400","400","2461","7.5583070221197122e+04","1.3482837580899433e-04","2.8828051057416815e-12","0.0000000000000000e+00","0.0000000000000000e+00","1.3482837580899433e-04","3637","2462","3646","0","2462","0","0","47.198","logs_ipopt_simples/elec_400_jump_ipopt.log"
"jump/gasoil_3200_jump.jl","gasoil_3200_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","0.00523659583390271","102.30619502067566","32003","32000","32003","148","5.2365958339027100e-03","6.7616332034612787e-12","1.0791367799356522e-12","0.0000000000000000e+00","9.9999999999992982e-12","9.9999999999992982e-12","1344","149","1344","0","149","0","0","100.648","logs_ipopt_simples/gasoil_3200_jump_ipopt.log"
"jump/optmass_jump.jl","optmass_jump","ITERATION_LIMIT","FEASIBLE_POINT","UNKNOWN_RESULT_STATUS","Maximum_Iterations_Exceeded","-0.00018894631534789613","347.71713399887085","60010","50005","50009","3000","-1.8894631534789613e-04","1.7293976050462010e-06","3.4230718980914412e-18","0.0000000000000000e+00","1.0000000000000001e-11","1.7293976050462010e-06","3001","3001","3001","3001","3001","3001","0","347.337","logs_ipopt_simples/optmass_jump_ipopt.log"
"jump/robot_1600_jump.jl","robot_1600_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","9.140919771332111","5.4051690101623535","14411","9613","28827","104","9.1409197713321113e+00","1.4126480622253166e-08","5.2342852274733787e-13","0.0000000000000000e+00","1.9310049180170252e-08","1.9310049180170252e-08","107","105","107","0","105","0","0","5.164","logs_ipopt_simples/robot_1600_jump_ipopt.log"
"jump/robot_b_jump.jl","robot_b_jump","LOCALLY_INFEASIBLE","INFEASIBLE_POINT","INFEASIBLE_POINT","Infeasible_Problem_Detected","-9.81776540216204e-5","5.840007066726685","400","2100","2100","723","-9.8177654021620395e-05","1.0122727813842649e-02","4.1684866738595634e+00","0.0000000000000000e+00","1.0000000000008246e-09","4.1684866738595634e+00","1094","74","1094","1094","733","733","0","5.835","logs_ipopt_simples/robot_b_jump_ipopt.log"
"jump/robot_c_jump.jl","robot_c_jump","LOCALLY_INFEASIBLE","INFEASIBLE_POINT","INFEASIBLE_POINT","Infeasible_Problem_Detected","-9.81776540216204e-5","5.95905613899231","400","2100","2100","723","-9.8177654021620395e-05","1.0122727813842649e-02","4.1684866738595634e+00","0.0000000000000000e+00","1.0000000000008246e-09","4.1684866738595634e+00","1094","74","1094","1094","733","733","0","5.954","logs_ipopt_simples/robot_c_jump_ipopt.log"
"jump/rocket_12800_jump.jl","rocket_12800_jump","ALMOST_LOCALLY_SOLVED","NEARLY_FEASIBLE_POINT","NEARLY_FEASIBLE_POINT","Solved_To_Acceptable_Level","1.007245216422287","6.228792905807495","51206","38405","115213","33","1.0072452164222869e+00","7.8725016651609181e-07","2.2204460492503131e-16","0.0000000000000000e+00","1.0000000042157124e-11","7.8725016651609181e-07","35","34","35","0","34","0","0","5.391","logs_ipopt_simples/rocket_12800_jump_ipopt.log"
"jump/steering_12800_jump.jl","steering_12800_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","0.5545709032848869","17.657747983932495","64007","51208","76812","76","5.5457090328488690e-01","1.1483735775866651e-08","8.9013494491974043e-11","0.0000000000000000e+00","1.0000730247288600e-11","1.1483735775866651e-08","79","77","79","0","77","0","0","17.312","logs_ipopt_simples/steering_12800_jump_ipopt.log"
"jump/svanberg_jump.jl","svanberg_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","83623.82188358395","39.78012204170227","50000","50000","150000","42","8.3623821883583951e+04","3.8021387149811403e-08","0.0000000000000000e+00","0.0000000000000000e+00","1.0000006677941521e-11","3.8021387149811403e-08","43","43","0","54","0","43","0","38.803","logs_ipopt_simples/svanberg_jump_ipopt.log"
"jump/ex1_320_jump (2).jl","ex1_320_jump (2)","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","0.06529138090229794","16.159345865249634","203522","101761","508805","14","6.5291380902297941e-02","1.9885740968117418e-10","1.1187881167557066e-11","9.8630360545470808e-09","1.9309597489011603e-10","1.9885740968117418e-10","15","15","15","0","15","0","0","15.410","logs_ipopt_simples/ex1_320_jump (2)_ipopt.log"
"jump/ex1_160_jump (2).jl","ex1_160_jump (2)","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","0.06387106097612051","5.521604061126709","50562","25281","126405","18","6.3871060976120511e-02","1.5372861464130906e-08","1.8615775300391199e-10","0.0000000000000000e+00","1.0588218124817754e-09","1.5372861464130906e-08","19","19","19","0","19","0","0","5.373","logs_ipopt_simples/ex1_160_jump (2)_ipopt.log"
"jump/ex4_2_160_jump (2).jl","ex4_2_160_jump (2)","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","3.646222969506825","5.694576978683472","51202","25917","128321","17","3.6462229695068249e+00","1.1910003067166897e-08","5.7621308824351829e-10","6.8985449352965134e-08","1.1677697655177263e-08","1.1910003067166897e-08","18","18","18","0","18","0","0","5.429","logs_ipopt_simples/ex4_2_160_jump (2)_ipopt.log"
"jump/ex4_2_320_jump (2).jl","ex4_2_320_jump (2)","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","3.64140379874898","22.093902111053467","204802","103037","512641","16","3.6414037987489798e+00","1.3535689489368415e-08","2.0836877943154796e-10","4.9749106167951140e-08","4.0286374538969831e-08","4.0286374538969831e-08","17","17","17","0","17","0","0","21.752","logs_ipopt_simples/ex4_2_320_jump (2)_ipopt.log"
"jump/ex8_2_2_jump (2).jl","ex8_2_2_jump (2)","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","-552.6662861249187","4.970292091369629","7511","1947","16967","198","-5.5266628612491866e+02","3.1729243113393267e-08","0.0000000000000000e+00","1.9917295901450416e-06","1.8629716232802459e-10","3.1729243113393267e-08","200","199","0","200","0","199","0","4.951","logs_ipopt_simples/ex8_2_2_jump (2)_ipopt.log"
"jump/ex8_2_3_jump (2).jl","ex8_2_3_jump (2)","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","-3731.0793339545694","9.329813003540039","15637","3155","34427","211","-3.7310793339545694e+03","8.2571806673355000e-08","2.7415041932044894e-10","2.7150654773322458e-06","7.7294258421900249e-10","8.2571806673355000e-08","212","212","0","212","0","212","0","9.101","logs_ipopt_simples/ex8_2_3_jump (2)_ipopt.log"
"jump/qcqp_corrigidos/qcqp1000-1c_jump.jl","qcqp1000-1c_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Solve_Succeeded","-46.42795402344492","0.022601842880249023","1000","1","2001","9","-4.6427954023444919e+01","1.3193799679291899e-09","0.0000000000000000e+00","0.0000000000000000e+00","9.0909090909090941e-09","9.0909090909090941e-09","10","10","0","10","0","10","0","0.013","logs_ipopt_simples/qcqp1000-1c_jump_ipopt.log"
