"arquivo","modelo","solver","algoritmo","status_execucao","status","status_primal","status_dual","raw_status","objetivo","tempo_jump_s","variaveis","restricoes_sem_bounds","restricoes_com_bounds","maxeval","maxtime","tol","constrtol_abs","erro_include","erro_solver","log"
"jump_2/abel_jump.jl","abel_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","225.19458319549267","0.15560603141784668","30","14","16","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/abel_jump_nlopt_2.log"
"jump_2/alkyl_jump.jl","alkyl_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-1.764999646009656","1.0694270133972168","14","7","35","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/alkyl_jump_nlopt_2.log"
"jump_2/camshape100_jump.jl","camshape100_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-4.284147121746709","2.9480819702148438","200","201","597","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/camshape100_jump_nlopt_2.log"
"jump_2/camshape200_jump.jl","camshape200_jump","NLopt","LD_SLSQP","OK","ALMOST_LOCALLY_SOLVED","NEARLY_FEASIBLE_POINT","NO_SOLUTION","ROUNDOFF_LIMITED","-3.8657675640195492","14.60627007484436","400","401","1197","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/camshape200_jump_nlopt_2.log"
"jump_2/catmix100_jump.jl","catmix100_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-0.048064770979704706","12.907181024551392","304","201","405","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/catmix100_jump_nlopt_2.log"
"jump_2/catmix200_jump.jl","catmix200_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-0.04804776334312839","97.59218907356262","604","401","805","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/catmix200_jump_nlopt_2.log"
"jump_2/chain100_jump.jl","chain100_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","5.069964130404062","2.674415111541748","203","102","104","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/chain100_jump_nlopt_2.log"
"jump_2/chain200_jump.jl","chain200_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","5.069720182239368","10.827154874801636","403","202","204","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/chain200_jump_nlopt_2.log"
"jump_2/chain400_jump.jl","chain400_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","5.069748714177158","103.66143488883972","803","402","404","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/chain400_jump_nlopt_2.log"
"jump_2/chain50_jump.jl","chain50_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","5.072392727914948","1.2956559658050537","103","52","54","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/chain50_jump_nlopt_2.log"
"jump_2/chakra_jump.jl","chakra_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-179.1335362173509","1.1035349369049072","63","42","104","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/chakra_jump_nlopt_2.log"
"jump_2/chance_jump.jl","chance_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","29.894378158718734","1.1497390270233154","5","4","8","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/chance_jump_nlopt_2.log"
"jump_2/chem_jump.jl","chem_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-47.706514880567745","1.0795080661773682","12","5","16","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/chem_jump_nlopt_2.log"
"jump_2/chenery_jump.jl","chenery_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-1058.9198556303606","1.1899631023406982","45","39","120","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/chenery_jump_nlopt_2.log"
"jump_2/demo7_jump.jl","demo7_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-1.5890423861980543e6","0.4829599857330322","72","58","124","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/demo7_jump_nlopt_2.log"
"jump_2/dispatch_jump.jl","dispatch_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","3155.287926858143","0.24888110160827637","5","3","9","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/dispatch_jump_nlopt_2.log"
"jump_2/elec25_jump.jl","elec25_jump","NLopt","LD_SLSQP","OK","ITERATION_LIMIT","UNKNOWN_RESULT_STATUS","NO_SOLUTION","MAXEVAL_REACHED","243.81368407196354","1.52805495262146","76","26","26","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/elec25_jump_nlopt_2.log"
"jump_2/elec50_jump.jl","elec50_jump","NLopt","LD_SLSQP","OK","ITERATION_LIMIT","UNKNOWN_RESULT_STATUS","NO_SOLUTION","MAXEVAL_REACHED","1055.264564711929","4.554164886474609","151","51","51","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/elec50_jump_nlopt_2.log"
"jump_2/etamac_jump.jl","etamac_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-15.294293414475932","1.4645369052886963","98","71","159","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/etamac_jump_nlopt_2.log"
"jump_2/ex14_1_2_jump.jl","ex14_1_2_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","XTOL_REACHED","-1.6444268402125032e-14","1.154116153717041","7","10","20","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex14_1_2_jump_nlopt_2.log"
"jump_2/ex14_1_3_jump.jl","ex14_1_3_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","XTOL_REACHED","5.643059985051805e-16","1.31325101852417","4","5","9","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex14_1_3_jump_nlopt_2.log"
"jump_2/ex_14_1_4_jump.jl","ex_14_1_4_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","XTOL_REACHED","-1.4561970200629645e-14","1.1455109119415283","4","5","9","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex_14_1_4_jump_nlopt_2.log"
"jump_2/ex_14_1_5_jump.jl","ex_14_1_5_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","XTOL_REACHED","-1.0758356436297832e-14","1.1379530429840088","7","7","17","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex_14_1_5_jump_nlopt_2.log"
"jump_2/ex_14_1_6_jump.jl","ex_14_1_6_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","0.9999999999999999","0.24710488319396973","10","16","32","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex_14_1_6_jump_nlopt_2.log"
"jump_2/ex_14_1_7_jump.jl","ex_14_1_7_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","0.13499021357569516","1.1792120933532715","11","18","36","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex_14_1_7_jump_nlopt_2.log"
"jump_2/ex14_1_8_jump.jl","ex14_1_8_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","0.041415885834337605","1.1413848400115967","4","5","9","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex14_1_8_jump_nlopt_2.log"
"jump_2/ex14_1_9_jump.jl","ex14_1_9_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","XTOL_REACHED","1.8290460834270716e-13","1.3021409511566162","3","3","5","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex14_1_9_jump_nlopt_2.log"
"jump_2/ex2_1_1_jump.jl","ex2_1_1_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-17.00000000000365","0.24795198440551758","6","2","12","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex2_1_1_jump_nlopt_2.log"
"jump_2/ex2_1_2_jump.jl","ex2_1_2_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-213.00000000143967","0.24898719787597656","7","3","14","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex2_1_2_jump_nlopt_2.log"
"jump_2/ex2_1_3_jump.jl","ex2_1_3_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-10.10937500003459","0.2503540515899658","14","10","33","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex2_1_3_jump_nlopt_2.log"
"jump_2/ex2_1_4_jump.jl","ex2_1_4_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-11.000000000000286","0.24904108047485352","7","6","16","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex2_1_4_jump_nlopt_2.log"
"jump_2/ex2_1_6_jump.jl","ex2_1_6_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-39.00000000072576","0.2537209987640381","11","6","26","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex2_1_6_jump_nlopt_2.log"
"jump_2/ex2_1_7_jump.jl","ex2_1_7_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-931.9335661464235","0.24676203727722168","21","11","31","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex2_1_7_jump_nlopt_2.log"
"jump_2/ex2_1_8_jump.jl","ex2_1_8_jump","NLopt","LD_SLSQP","OK","ITERATION_LIMIT","UNKNOWN_RESULT_STATUS","NO_SOLUTION","MAXEVAL_REACHED","20480.705015414307","0.18402981758117676","25","11","59","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex2_1_8_jump_nlopt_2.log"
"jump_2/ex2_1_9_jump.jl","ex2_1_9_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-0.37500000000000044","0.16055703163146973","11","2","12","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex2_1_9_jump_nlopt_2.log"
"jump_2/ex3_1_1_jump.jl","ex3_1_1_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","7049.248032683781","0.252500057220459","9","7","23","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex3_1_1_jump_nlopt_2.log"
"jump_2/ex3_1_2_jump.jl","ex3_1_2_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-30665.538671529564","0.24887919425964355","6","7","17","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex3_1_2_jump_nlopt_2.log"
"jump_2/ex3_1_3_jump.jl","ex3_1_3_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-262.00000001676676","0.2639780044555664","7","7","17","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex3_1_3_jump_nlopt_2.log"
"jump_2/ex3_1_4_jump.jl","ex3_1_4_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","XTOL_REACHED","-4.000000000000002","0.26690101623535156","4","4","9","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex3_1_4_jump_nlopt_2.log"
"jump_2/ex4_1_1_jump.jl","ex4_1_1_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-0.5199780612750043","1.2347218990325928","2","1","3","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex4_1_1_jump_nlopt_2.log"
"jump_2/ex4_1_2_jump.jl","ex4_1_2_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-663.500096610505","1.2282581329345703","2","1","3","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex4_1_2_jump_nlopt_2.log"
"jump_2/ex4_1_3_jump.jl","ex4_1_3_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-443.67170474112703","1.056915044784546","2","1","3","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex4_1_3_jump_nlopt_2.log"
"jump_2/ex4_1_5_jump.jl","ex4_1_5_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","0.0","1.2410399913787842","3","1","3","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex4_1_5_jump_nlopt_2.log"
"jump_2/ex4_1_6_jump.jl","ex4_1_6_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","7.0","1.2385571002960205","2","1","3","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex4_1_6_jump_nlopt_2.log"
"jump_2/ex4_1_7_jump.jl","ex4_1_7_jump","NLopt","LD_SLSQP","OK","LOCALLY_SOLVED","FEASIBLE_POINT","NO_SOLUTION","FTOL_REACHED","-7.5","1.2142128944396973","2","1","3","3000","1800.0","1.0e-7","1.0e-7","","","logs_nlopt_simples_2/ex4_1_7_jump_nlopt_2.log"
