"arquivo","modelo","solver","preset","status_execucao","status","status_primal","status_dual","raw_status","objetivo","tempo_jump_s","variaveis","restricoes_sem_bounds","restricoes_com_bounds","max_iter","tol","erro_include","erro_solver","log"
"jump_2/abel_jump.jl","abel_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","225.19458318564466","0.260879","30","14","16","3000","1.0e-7","","","logs_uno_simples_2/abel_jump_uno_2.log"
"jump_2/alkyl_jump.jl","alkyl_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-1.7649996459410175","1.89191","14","7","35","3000","1.0e-7","","","logs_uno_simples_2/alkyl_jump_uno_2.log"
"jump_2/camshape100_jump.jl","camshape100_jump","UnoSolver","filtersqp","OK","ITERATION_LIMIT","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","1","-4.39615260073027","116.130257","200","201","597","3000","1.0e-7","","","logs_uno_simples_2/camshape100_jump_uno_2.log"
"jump_2/camshape200_jump.jl","camshape200_jump","UnoSolver","filtersqp","OK","OTHER_ERROR","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","4","-4.638809554336969","45.287289","400","401","1197","3000","1.0e-7","","","logs_uno_simples_2/camshape200_jump_uno_2.log"
"jump_2/catmix100_jump.jl","catmix100_jump","UnoSolver","filtersqp","OK","OTHER_ERROR","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","4","0.008239043316471953","11.757204","304","201","405","3000","1.0e-7","","","logs_uno_simples_2/catmix100_jump_uno_2.log"
"jump_2/catmix200_jump.jl","catmix200_jump","UnoSolver","filtersqp","OK","OTHER_ERROR","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","4","-0.006962468210711226","1.791859","604","401","805","3000","1.0e-7","","","logs_uno_simples_2/catmix200_jump_uno_2.log"
"jump_2/chain100_jump.jl","chain100_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","5.069784610475642","1.995108","203","102","104","3000","1.0e-7","","","logs_uno_simples_2/chain100_jump_uno_2.log"
"jump_2/chain200_jump.jl","chain200_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","5.068916869633041","3.238106","403","202","204","3000","1.0e-7","","","logs_uno_simples_2/chain200_jump_uno_2.log"
"jump_2/chain400_jump.jl","chain400_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","5.0686213068103445","5.324167","803","402","404","3000","1.0e-7","","","logs_uno_simples_2/chain400_jump_uno_2.log"
"jump_2/chain50_jump.jl","chain50_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","5.072261517029605","1.937759","103","52","54","3000","1.0e-7","","","logs_uno_simples_2/chain50_jump_uno_2.log"
"jump_2/chakra_jump.jl","chakra_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-179.1335578689113","1.893556","63","42","104","3000","1.0e-7","","","logs_uno_simples_2/chakra_jump_uno_2.log"
"jump_2/chance_jump.jl","chance_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","29.894378158718734","2.063867","5","4","8","3000","1.0e-7","","","logs_uno_simples_2/chance_jump_uno_2.log"
"jump_2/chem_jump.jl","chem_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-47.7065148308405","1.911602","12","5","16","3000","1.0e-7","","","logs_uno_simples_2/chem_jump_uno_2.log"
"jump_2/chenery_jump.jl","chenery_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-1058.919855630225","2.093316","45","39","120","3000","1.0e-7","","","logs_uno_simples_2/chenery_jump_uno_2.log"
"jump_2/demo7_jump.jl","demo7_jump","UnoSolver","filtersqp","OK","OTHER_ERROR","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","4","-435292.89716909255","0.960419","72","58","124","3000","1.0e-7","","","logs_uno_simples_2/demo7_jump_uno_2.log"
"jump_2/dispatch_jump.jl","dispatch_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","3155.287926847949","0.259293","5","3","9","3000","1.0e-7","","","logs_uno_simples_2/dispatch_jump_uno_2.log"
"jump_2/elec25_jump.jl","elec25_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","243.81276029875872","11.86474","76","26","26","3000","1.0e-7","","","logs_uno_simples_2/elec25_jump_uno_2.log"
"jump_2/elec50_jump.jl","elec50_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","1055.1823147262949","38.748983","151","51","51","3000","1.0e-7","","","logs_uno_simples_2/elec50_jump_uno_2.log"
"jump_2/etamac_jump.jl","etamac_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-15.294675646786766","2.028409","98","71","159","3000","1.0e-7","","","logs_uno_simples_2/etamac_jump_uno_2.log"
"jump_2/ex14_1_2_jump.jl","ex14_1_2_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","1.2357108999276944e-21","2.018888","7","10","20","3000","1.0e-7","","","logs_uno_simples_2/ex14_1_2_jump_uno_2.log"
"jump_2/ex14_1_3_jump.jl","ex14_1_3_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.913368158640763","2.061788","4","5","9","3000","1.0e-7","","","logs_uno_simples_2/ex14_1_3_jump_uno_2.log"
"jump_2/ex_14_1_4_jump.jl","ex_14_1_4_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.0","1.881632","4","5","9","3000","1.0e-7","","","logs_uno_simples_2/ex_14_1_4_jump_uno_2.log"
"jump_2/ex_14_1_5_jump.jl","ex_14_1_5_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.0","2.020647","7","7","17","3000","1.0e-7","","","logs_uno_simples_2/ex_14_1_5_jump_uno_2.log"
"jump_2/ex_14_1_6_jump.jl","ex_14_1_6_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","1.0","0.29076","10","16","32","3000","1.0e-7","","","logs_uno_simples_2/ex_14_1_6_jump_uno_2.log"
"jump_2/ex_14_1_7_jump.jl","ex_14_1_7_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","5.466370638282493","2.031298","11","18","36","3000","1.0e-7","","","logs_uno_simples_2/ex_14_1_7_jump_uno_2.log"
"jump_2/ex14_1_8_jump.jl","ex14_1_8_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.01155183956828375","1.888667","4","5","9","3000","1.0e-7","","","logs_uno_simples_2/ex14_1_8_jump_uno_2.log"
"jump_2/ex14_1_9_jump.jl","ex14_1_9_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.0","2.06168","3","3","5","3000","1.0e-7","","","logs_uno_simples_2/ex14_1_9_jump_uno_2.log"
"jump_2/abel_jump.jl","abel_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","225.19458318564466","0.328807","30","14","16","3000","1.0e-7","","","logs_uno_simples_2/abel_jump_uno_2.log"
"jump_2/alkyl_jump.jl","alkyl_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-1.7649996459410175","1.988161","14","7","35","3000","1.0e-7","","","logs_uno_simples_2/alkyl_jump_uno_2.log"
"jump_2/camshape100_jump.jl","camshape100_jump","UnoSolver","filtersqp","OK","ITERATION_LIMIT","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","1","-4.39615260073027","115.850908","200","201","597","3000","1.0e-7","","","logs_uno_simples_2/camshape100_jump_uno_2.log"
"jump_2/camshape200_jump.jl","camshape200_jump","UnoSolver","filtersqp","OK","OTHER_ERROR","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","4","-4.638809554336969","45.490234","400","401","1197","3000","1.0e-7","","","logs_uno_simples_2/camshape200_jump_uno_2.log"
"jump_2/catmix100_jump.jl","catmix100_jump","UnoSolver","filtersqp","OK","OTHER_ERROR","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","4","0.008239043316471953","11.917704","304","201","405","3000","1.0e-7","","","logs_uno_simples_2/catmix100_jump_uno_2.log"
"jump_2/catmix200_jump.jl","catmix200_jump","UnoSolver","filtersqp","OK","OTHER_ERROR","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","4","-0.006962468210711226","1.827375","604","401","805","3000","1.0e-7","","","logs_uno_simples_2/catmix200_jump_uno_2.log"
"jump_2/chain100_jump.jl","chain100_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","5.069784610475642","2.07785","203","102","104","3000","1.0e-7","","","logs_uno_simples_2/chain100_jump_uno_2.log"
"jump_2/chain200_jump.jl","chain200_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","5.068916869633041","3.347585","403","202","204","3000","1.0e-7","","","logs_uno_simples_2/chain200_jump_uno_2.log"
"jump_2/chain400_jump.jl","chain400_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","5.0686213068103445","5.377347","803","402","404","3000","1.0e-7","","","logs_uno_simples_2/chain400_jump_uno_2.log"
"jump_2/chain50_jump.jl","chain50_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","5.072261517029605","2.012693","103","52","54","3000","1.0e-7","","","logs_uno_simples_2/chain50_jump_uno_2.log"
"jump_2/chakra_jump.jl","chakra_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-179.1335578689113","1.958773","63","42","104","3000","1.0e-7","","","logs_uno_simples_2/chakra_jump_uno_2.log"
"jump_2/chance_jump.jl","chance_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","29.894378158718734","2.202445","5","4","8","3000","1.0e-7","","","logs_uno_simples_2/chance_jump_uno_2.log"
"jump_2/chem_jump.jl","chem_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-47.7065148308405","1.9979","12","5","16","3000","1.0e-7","","","logs_uno_simples_2/chem_jump_uno_2.log"
"jump_2/chenery_jump.jl","chenery_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-1058.919855630225","2.197796","45","39","120","3000","1.0e-7","","","logs_uno_simples_2/chenery_jump_uno_2.log"
"jump_2/demo7_jump.jl","demo7_jump","UnoSolver","filtersqp","OK","OTHER_ERROR","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","4","-435292.89716909255","0.97914","72","58","124","3000","1.0e-7","","","logs_uno_simples_2/demo7_jump_uno_2.log"
"jump_2/dispatch_jump.jl","dispatch_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","3155.287926847949","0.276479","5","3","9","3000","1.0e-7","","","logs_uno_simples_2/dispatch_jump_uno_2.log"
"jump_2/elec25_jump.jl","elec25_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","243.81276029875872","12.074849","76","26","26","3000","1.0e-7","","","logs_uno_simples_2/elec25_jump_uno_2.log"
"jump_2/elec50_jump.jl","elec50_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","1055.1823147262949","39.2444","151","51","51","3000","1.0e-7","","","logs_uno_simples_2/elec50_jump_uno_2.log"
