problema,instancia,n,objetivo_sum_Tj,gap,status
Machine Scheduling,inst_book,7,16.0,0.0,OPTIMAL
Machine Scheduling,inst_n05_s01,5,7.0,0.0,OPTIMAL
Machine Scheduling,inst_n05_s02,5,15.0,0.0,OPTIMAL
Machine Scheduling,inst_n05_s03,5,3.0,0.0,OPTIMAL
Machine Scheduling,inst_n07_s01,7,38.0,0.0,OPTIMAL
Machine Scheduling,inst_n07_s02,7,30.0,0.0,OPTIMAL
Machine Scheduling,inst_n07_s03,7,26.0,0.0,OPTIMAL
Machine Scheduling,inst_n09_s01,9,26.0,0.0,OPTIMAL
Machine Scheduling,inst_n09_s02,9,56.0,0.0,OPTIMAL
Machine Scheduling,inst_n09_s03,9,32.0,0.0001,OPTIMAL
Machine Scheduling,inst_n11_s01,11,16.0,0.0,OPTIMAL
Machine Scheduling,inst_n11_s02,11,62.0,0.0,OPTIMAL
Machine Scheduling,inst_n11_s03,11,116.0,0.8058,TIME_LIMIT
Machine Scheduling,inst_n13_s01,13,71.0,0.5428,TIME_LIMIT
Machine Scheduling,inst_n13_s02,13,98.0,0.5551,TIME_LIMIT
Machine Scheduling,inst_n13_s03,13,71.0,0.0001,OPTIMAL
Machine Scheduling,inst_n15_s01,15,159.0,0.8937,TIME_LIMIT
Machine Scheduling,inst_n15_s02,15,151.0,0.933,TIME_LIMIT
Machine Scheduling,inst_n15_s03,15,62.0,0.1641,TIME_LIMIT
Machine Scheduling,inst_n17_s01,17,185.0,0.9045,TIME_LIMIT
Machine Scheduling,inst_n17_s02,17,176.0,0.9443,TIME_LIMIT
Machine Scheduling,inst_n17_s03,17,109.0,0.9043,TIME_LIMIT
Machine Scheduling,inst_n19_s01,19,307.0,0.9556,TIME_LIMIT
Machine Scheduling,inst_n19_s02,19,129.0,0.9845,TIME_LIMIT
Machine Scheduling,inst_n19_s03,19,272.0,0.9596,TIME_LIMIT
Machine Scheduling,inst_n21_s01,21,209.0,0.9407,TIME_LIMIT
Machine Scheduling,inst_n21_s02,21,247.0,0.9937,TIME_LIMIT
Machine Scheduling,inst_n21_s03,21,207.0,0.9574,TIME_LIMIT
Machine Scheduling,inst_n24_s01,24,150.0,1.0,TIME_LIMIT
Machine Scheduling,inst_n24_s02,24,280.0,1.0,TIME_LIMIT
Machine Scheduling,inst_n24_s03,24,343.0,0.9841,TIME_LIMIT
